name,position,address,phone,fax,mobile,address2
Paul GriffiN,Madison County Supervisor (D-5)," PO Box 608, Canton 39046",(601) 855-5500,(601) 859-5875,,
Joseph Shepard ,Marion County Board Attorney,"PO Box 747, Columbia 39429",(601) 736-1122,(601) 736-1232,,
Cass Barnes,Marion County Chancery Clerk,"250 Broad St,Ste 2, Columbia 39429",(601) 736-2691,(601) 444-0206,,
Rhea H. Sheldon,Marion County Chancery Court Judge,"250 Broad St,Ste 12, Columbia 39429.",(601) 736-2220,,,
Johnny L. Williams,Marion County Chancery Court Judge,"PO Box 1664, Hattiesburg 39403-1664.",(601) 545-6037,,,
M. Ronald Doleac,Marion County Chancery Court Judge,"PO Box 872, Hattiesburg 39403-0872",(601) 544-2836,,,
Deborah J. Gabrell,Marion County Chancery Court Judge,"PO Box 807, Hattiesburg 39403-0807",(601) 545-6028,,,
Janette Nolan,Marion County Circuit Clerk,"250 Broad St,Ste 1, Columbia 39429",(601) 736-8246,(601) 731-6344,,
Anthony A. Mozingo,Marion County Circuit Court Judge,"PO Drawer 269, Purvis 39475",(601) 794-6035,,,
Prentiss G. Harrell,Marion County Circuit Court Judge,"PO Box 488, Purvis 39475",(601) 794-6035,,,
Claiborne McDonald,Marion County Circuit Court Judge,"PO Box 590, Poplarville 39470",(601) 403-2360,,,
Brian Foxworth,Marion County Constable,"500 Courthouse Sq, Columbia 39429",(601) 736-2572,(601) 736-2580,,
Robbie Gill,Marion County Constable," 500 Courthouse Sq, Columbia 39429",(601) 736-2572,(601) 736-2580,,
Norma Williamson,Marion County Coroner,"758 Goss-Bunkerhill Rd, Columbia 39429",(601) 731-2823,(601) 731-2429,,
Hal Kittrell,Marion County District Attorney,"500 Courthouse Sq,Ste 3, Columbia 39429",(601) 731-1476,(601) 731-1489,,
Mike Bennett,Marion County Election Commissioner,"36 Bay Ln, Columbia 39429",,,,
Van Lowry Jr,Marion County Election Commissioner,"475 River Bend Rd, Columbia 39429",,,,
Smitty Bracey,Marion County Election Commissioner,"421 John Thornhill Rd, Foxworth 39483",,,,
Thomas Rowell,Marion County Election Commissioner,"298 Pickwick Rd, Foxworth 39483",,,,
Charles (Coach) Marshall,Marion County Election Commissioner,"No. 4 Rural Center Ln, Columbia 39429",,,,
Wynette Parkman,Marion County Justice Court Clerk,"500 Courthouse Sq,Ste 2, Columbia 39429",(601) 736-2572,(601) 736-2580,,
Gwen Broom,Marion County Justice Court Judge,"500 Courthouse Sq,Ste 2, Columbia 39429",(601) 736-2572,(601) 736-2580,,
Sharon Hatfield Whitfield,Marion County Justice Court Judge,"500 Courthouse Sq,Ste 2, Columbia 39429",(601) 736-2572,(601) 736-2580,,
Scott Phillips,Marion County Prosecuting Attorney,"326-A 2nd Street, Columbia 39429",(601) 736-9301,(601) 731-6344,,
Berkley Hall,Marion County Sheriff,"219 Broad St, Columbia 39429",(601) 736-5051,(601) 731-3780,,
Wendy Bracey,Marion County Superintendent of Education,"1010 Hwy.13 North,Ste Z, Columbia 39429 ",(601) 736-7193,(601) 736-6274,,
Charles R. Dyess,Marion County Supervisor (D-1),"215 Broad St, Columbia 39429",(601) 736-7382,(601) 736-1232,,
Terry Broome,Marion County Supervisor (D-2),"215 Broad St, Columbia 39429",(601) 736-7382,(601) 736-1232,,
Tony Morgan,Marion County Supervisor (D-3),"215 Broad St, Columbia 39429",(601) 736-7382,(601) 736-1232,,
Raymon Rowell.,Marion County Supervisor (D-4),"215 Broad St, Columbia 39429",(601) 736-7382,(601) 736-1232,,
Calvin Newsom Sr,Marion County Supervisor (D-5),"215 Broad St, Columbia 39429",(601) 736-7382,(601) 736-1232,,
Teresa Terrell,Marion County Tax Assessor,"250 Broad St,Ste 3, Columbia 39429",(601) 736-3157,(601) 731-2304,,
Teresa Terrell,Marion County Tax Collector,"250 Broad St,Ste 3, Columbia 39429",(601) 736-8256,(601) 731-2304,,
Kent Smith,Marshall County Board Attorney," PO Box 849, Holly Springs 38635",(662) 252-3003,(662) 252-3006,,
Ben Creekmore,Marshall County District Attorney,"1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,
Shirley C. Byers,Marshall County Prosecuting Attorney,"PO Box 5008, Holly Springs 38634.",(662) 252-6530,(662) 252-6535,,
Kenny Dickerson,Marshall County Sheriff," PO Box 5100, Holly Springs 38635",(662) 252-1311,(662) 252-0006,,
Charles Terry,Marshall County Supervisor (D-1),"640 N West St, Holly Springs 38635",(662) 252-7903,(662) 252-0004,,
Eddie Dixon,Marshall County Supervisor (D-2),"4226 Hwy. 72 E, Holly Springs 38635",(662) 252-7903,(662) 252-0004,,
Keith Taylor,Marshall County Supervisor (D-3),"288 Peach Tree Rd, Byhalia 38611",(662) 252-7903,(662) 252-0004,,
George Zinn III,Marshall County Supervisor (D-4)," 3768 Marianna Rd, Holly Springs 38635",(662) 252-7903,(662) 252-0004,,
Ronnie Joe Bennett,Marshall County Supervisor (D-5)," 4927 Potts Camp Rd, Potts Camp 38659",(662) 252-7903,(662) 252-0004,,
David W Houston III  ,Monroe County Board Attorney,"PO Box 72, Aberdeen 39730",(662) 620-6219,,,
John Weddle,Monroe County District Attorney,"PO Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,
Candace Cooper Blalock,Monroe County Prosecuting Attorney,"PO Box 81, Aberdeen 39730",(662) 368-8691,(662) 369-7674,,
Cecil Cantrell,Monroe County Sheriff,"PO Box 683, Aberdeen 39730",(662) 369-2468,(662) 369-2470,,
M. Joseph Richardson,Monroe County Supervisor (D-1)," PO Box 578, Aberdeen 39730",(662) 369-8143,(662) 369-7928,,
Billy Kirkpatrick.,Monroe County Supervisor (D-2),"PO Box 578, Aberdeen 39730",(662) 369-8143,(662) 369-7928,,
Glenn (Chip) Chism,Monroe County Supervisor (D-3),"PO Box 578, Aberdeen 39730",(662) 369-8143,(662) 369-7928,,
Fulton Ware,Monroe County Supervisor (D-4),"PO Box 578, Aberdeen 39730",(662) 369-8143,(662) 369-7928,,
Hosea Bogan,Monroe County Supervisor (D-5),"PO Box 578, Aberdeen 39730",(662) 369-8143,(662) 369-7928,,
Alan Lancaster,Montgomery County Board Attorney," PO Box 71, Winona 38967.",(662) 283-2132,(662) 283-2233,,
Doug Evans,Montgomery County District Attorney," PO Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,
J. Lane Greenlee,Montgomery County Prosecuting Attorney," PO Box 430, Winona 38967",(662) 283-1354,(662) 283-4805,,
Jerry C. (Bubba) Nix Jr,Montgomery County Sheriff,"PO Box 346, Winona 38967",(662) 283-3343,(662) 283-4000,,
Keith McGee,Montgomery County Supervisor (D-1),"PO Box 71, Winona 38967",(662) 283-2333,(662) 283-2233,,
Edwin Taylor,Montgomery County Supervisor (D-2),"PO Box 71, Winona 38967",(662) 283-2333,(662) 283-2233,,
Willie Townsend Jr,Montgomery County Supervisor (D-3),"PO Box 71, Winona 38967",(662) 283-2333,(662) 283-2233,,
James Ron Wood Jr,Montgomery County Supervisor (D-4),"PO Box 71, Winona 38967",(662) 283-2333,(662) 283-2233,,
Janet Roby-Harper,Montgomery County Supervisor (D-5),"PO Box 71, Winona 38967",(662) 283-2333,(662) 283-2233,,
Wade White,Neshoba County Board Attorney,"PO Box 459, Philadelphia 39350",(601) 656-2451,(601) 656-2458,,
Steven S Kilgore,Neshoba County District Attorney," PO Box 603, Philadelphia 39350",(601) 656-1991,(601) 656-2287,,
Caleb E May,Neshoba County Prosecuting Attorney,"PO Box 388, Philadelphia 39350",(601) 656-4830,(601) 389-5844,,
Tommy G. Waddell,Neshoba County Sheriff," 401 E Beacon St,Ste 108, Philadelphia 39350",(601) 656-1414,(601) 650-3281,,
Keith E Lillis,Neshoba County Supervisor (D-1),"401 E Beacon St,Ste 201, Philadelphia 39350",(601) 656-6281,(601) 650-3280,,
Kevin Cumberland,Neshoba County Supervisor (D-2)," 401 E Beacon St,Ste 201, Philadelphia 39350",(601) 656-6281,(601) 650-3280,,
Jerry Goforth,Neshoba County Supervisor (D-3)," 401 E Beacon St,Ste 201, Philadelphia 39350",(601) 656-6281,(601) 650-3280,,
Allen White,Neshoba County Supervisor (D-4),"401 E Beacon St,Ste 201, Philadelphia 39350",(601) 656-6281,(601) 650-3280,,
Obbie Riley,Neshoba County Supervisor (D-5)," 401 E Beacon St,Ste 201, Philadelphia 39350",(601) 656-6281,(601) 650-3280,,
Jason Mangum,Newton County Board Attorney," PO Box 85, Decatur 39327.",(601) 635-3432,(601) 635-3479,,
Steven S Kilgore,Newton County District Attorney," PO Box 603, Philadelphia 39350",(601) 656-1991,(601) 656-2287,,
J. Douglas Smith,Newton County Prosecuting Attorney," PO Box 567, Decatur 39327",(601) 635-4444,(601) 635-4448,,
Jackie Knight,Newton County Sheriff,"PO Box 395, Decatur 39327",(601) 635-4401,(601) 635-5768,,
Kenneth Harris,Newton County Supervisor (D-1),"PO Box 68, Decatur 39327",(601) 635-4150,(601) 635-4531,,
Joe Alexander,Newton County Supervisor (D-2),"PO Box 68, Decatur 39327",(601) 635-4150,(601) 635-4531,,
Charles MouldS,Newton County Supervisor (D-3),"PO Box 68, Decatur 39327",(601) 635-4150,(601) 635-4531,,
Charles Godwin,Newton County Supervisor (D-4),"PO Box 68, Decatur 39327",(601) 635-4150,(601) 635-4531,,
Glenn Hollingsworth,Newton County Supervisor (D-5),"PO Box 68, Decatur 39327",(601) 635-4150,(601) 635-4531,,
May Bender,Newton County Tax Assessor," PO Box 7, Decatur 39327",(601) 635-2517,(601) 635-3402,,
May Bender,Newton County Tax Collector," PO Box 7, Decatur 39327",(601) 635-2517,(601) 635-3402,,
Chris D. Hemphill,Noxubee County Board Attorney,"PO Drawer 866, Columbus 39703",(662) 327-4211,,,
Scott Colom,Noxubee County District Attorney," PO Box 1044, Columbus 39703 ",(662) 329-5911,(662) 327-1854,,
Ricky D. Walker,Noxubee County Prosecuting Attorney,"PO Box 427, Macon 39341 ",(662) 726-5977,,,
Terry M. Grassaree,Noxubee County Sheriff," 2832 Jefferson, Macon 39341",(662) 726-5133,(662) 726-4166,,
Larry Tate,Noxubee County Supervisor (D-1),"PO Box 147, Macon 39341 ",(662) 726-5181,(662) 726-2272,,
William Oliver,Noxubee County Supervisor (D-2),"PO Box 147, Macon 39341 ",(662) 726-5181,(662) 726-2272,,
Sherman Patterson,Noxubee County Supervisor (D-3)," PO Box 147, Macon 39341 ",(662) 726-5181,(662) 726-2272,,
Eddie Coleman,Noxubee County Supervisor (D-4)," PO Box 147, Macon 39341 ",(662) 726-5181,(662) 726-2272,,
Bruce Bernard Brooks,Noxubee County Supervisor (D-5),"PO Box 147, Macon 39341 ",(662) 726-5181,(662) 726-2272,,
Jackson M. Brown,Oktibbeha County Board Attorney,"PO Box 57, Starkville 39760-2257",(662) 323-4126,(662) 323-4188,,
Scott Colom,Oktibbeha County District Attorney," PO Box 1044, Columbus 39703 ",(662) 329-5911,(662) 327-1854,,
Haley M. Brown,Oktibbeha County Prosecuting Attorney,"PO Box 1859, Starkville 39760",(662) 546-0861,,,
Steve Gladney,Oktibbeha County Sheriff,"111 Dr. D.L. Conner Dr, Starkville 39760",(662) 323-2421,(662) 324-5680,,
John P. Montgomery Jr.,Oktibbeha County Supervisor (D-1)," PO Box 80285, Starkville 39760",(662) 323-1520,(662) 338-1065,,
Orlando Trainer,Oktibbeha County Supervisor (D-2)," PO Box 80285, Starkville 39760",(662) 323-1520,(662) 338-1065,,
Marvell Howard,Oktibbeha County Supervisor (D-3)," PO Box 80285, Starkville 39760",(662) 323-1520,(662) 338-1065,,
Bricklee Miller,Oktibbeha County Supervisor (D-4)," PO Box 80285, Starkville 39760",(662) 323-1520,(662) 338-1065,,
Joe Williams,Oktibbeha County Supervisor (D-5),"PO Box 80285, Starkville 39760",(662) 323-1520,(662) 338-1065,,
William McKenzie III  ,Panola County Board Attorney,"PO Box 837, Batesville 39606",(662) 563-3536,(662) 563-2566,,
James R. Pitcock,Panola County Chancery Clerk," 151 Public Sq,Ste B, Batesville 38606",(662) 563-6205,(662) 563-6277,,
James R. Pitcock,Panola County Chancery Clerk," 215 S Pocahontas St, Sardis 38666",(662) 487-2070,(662) 487-3559,,
Mike Wilson,Panola County Constable (P-1),"PO Box 249, Sardis 38666",(662) 487-2080,(662) 487-2008,,
Charlie Baglan,Panola County Constable (P-2),"PO Box 249, Sardis 38666",(662) 487-2080,(662) 487-2008,,
John W Champion,Panola County District Attorney,"365 Losher St,Ste 210, Hernando 38632",(662) 469-8014,(662) 469-8231,,
Julius Harris,Panola County Election Commissioner," PO Box 495, Como 38619",null,null,,
Dorothy Kerney Wilbourn,Panola County Election Commissioner," PO Box 696, Como 38619",null,null,,
Wayne Belk,Panola County Election Commissioner,"10848 Hwy 35, Batesville 38606",null,null,,
Wanda Lawrence Carmichael,Panola County Election Commissioner," 36124 Hwy. 315, Batesville 38606",null,null,,
Kaye Smythe,Panola County Election Commissioner," 200 Bruce St, Batesville 38606",null,null,,
C. Gaines Baker.,Panola County Prosecuting Attorney,"136 Public Sq,Ste 1, Batesville 38606",(662) 563-9385,(662) 561-0743,,
Dennis L. Darby ,Panola County Sheriff," PO Box 273, Batesville 38606",(662) 563-6230,,,
James Birge,Panola County Supervisor (D-1),"PO Box 807, Batesville 38606",(662) 563-6200,(662) 563-6237,,
Vernice Avant,Panola County Supervisor (D-2)," 1332 Avant Rd, Crenshaw 38621",(662) 703-0102,(662) 563-6237,,
John F. Thomas,Panola County Supervisor (D-3)," PO Box 807, Batesville 38606",(662) 563-6200,(662) 563-6237,,
Donald Phelps,Panola County Supervisor (D-4),"PO Box 807, Batesville 30606",(662) 563-6200,(662) 563-6237,,
Barry C. Flint,Panola County Supervisor (D-5)," PO Box 807, Batesville 38606",(662) 563-6200,(662) 563-6237,,
David Garner,Panola County Tax Assessor," 151 Public Sq,Ste E, Batesville 38606",(662) 563-6270,(662) 563-4665,,
David Garner,Panola County Tax Assessor," 215 S Pocahontas, Sardis 38666",(662) 487-2092,(662) 487-2090,,
David Garner,Panola County Tax Collector," 151 Public Sq,Ste E, Batesville 38606",(662) 563-6215,(662) 563-6241,,
David Garner,Panola County Tax Collector," 215 S Pocahontas, Sardis 38666",(662) 487-2092,(662) 487-2090,,
Joe Montgomery,Pearl River County Board Attorney," PO Box 113, Poplarville 39470",(601) 795-4572,(601) 795-8382,,
Jason Hunt,Pearl River County Constable,"169 Savannah-Millard Rd,Ste A, Poplarville 39470",(601) 403-2500,(601) 403-2553,,
Adrian Lumpkin,Pearl River County County Administrator," PO Box 569, Poplarville 39470",(601) 403-2302,(601) 403-2309,,
Hal Kittrell,Pearl River County District Attorney,"500 Courthouse Sq,Ste 3, Columbia 39429",(601) 731-1476,(601) 731-1489,,
James Hal Breland,Pearl River County Justice Court Judge,"169 Savannah-Millard Rd,Ste A, Poplarville 39470",(601) 403-2500,(601) 403-2553,,
Aaron L. Russell Jr.,Pearl River County Prosecuting Attorney,"PO Box 476, Picayune 39466",(601) 403-2332,(601) 403-2553,,
David Allison,Pearl River County Sheriff," 200 S Main, Poplarville 39470",(601) 403-2340,(601) 403-2344,,
Alan Lumpkin,Pearl River County Superintendent of Education,"7903 Hwy. 11, Carriere 39426",(601) 798-7744,(601) 798-3527,,
Donald Hart,Pearl River County Supervisor (D-1)," PO Box 569, Poplarville 39470",(601) 403-2302,(601) 403-2309,,
Malcolm Perry,Pearl River County Supervisor (D-2)," PO Box 569, Poplarville 39470",(601) 403-2302,(601) 403-2309,,
Hudson Holliday,Pearl River County Supervisor (D-3)," PO Box 569, Poplarville 39470",(601) 403-2302,(601) 403-2309,,
Farron Moller,Pearl River County Supervisor (D-4)," PO Box 569, Poplarville 39470",(601) 403-2302,(601) 403-2309,,
Sandy Kane Smith,Pearl River County Supervisor (D-5)," PO Box 569, Poplarville 39470",(601) 403-2302,(601) 403-2309,,
Paul Walley  ,Perry County Board Attorney,"PO Box 183, New Augusta 39642",(601) 964-7878,(601) 964-7879,,
Guy A. Harvison,Perry County Constable,"12 Hubert Edwards Dr, Richton 39476",(601) 964-8366,(601) 964-8368,,
Patricia Burchell,Perry County District Attorney,"PO Box 166, Hattiesburg 39403-0166",(601) 545-1551,(601) 545-6097,,
Paul D. Walley,Perry County Prosecuting Attorney,"PO Box 183, New Augusta 39462",(601) 964-7878,(601) 964-7879,,
Mitch Nobles,Perry County Sheriff," PO Box 228, New Augusta 39462",(601) 964-8461,(601) 964-8463,,
Bobby Bolton,Perry County Supervisor (D-1),"PO Box 345, New Augusta 39462",(601) 964-8370,(601) 964-8265,,
Kevin Shows,Perry County Supervisor (D-2),"PO Box 345, New Augusta 39462",(601) 964-8370,(601) 964-8265,,
Tommy Walley,Perry County Supervisor (D-3)," PO Box 345, New Augusta 39462",(601) 964-8370,(601) 964-8265,,
Mitchell HintoN,Perry County Supervisor (D-4),"PO Box 345, New Augusta 39462",(601) 964-8370,(601) 964-8265,,
Marc Williams,Perry County Supervisor (D-5),"PO Box 345, New Augusta 39462",(601) 964-8370,(601) 964-8265,,
Wayne Dowdy,Pike County Board Attorney," PO Box 30, Magnolia 39652",(601) 783-6600,(601) 783-3670,,
Dewitt (Dee) T. Bates Jr.,Pike County District Attorney,"223 W Bay St, Magnolia 39652",(601) 783-6677,(601) 783-5646,,
David L. Brewer,Pike County Prosecuting Attorney,"249 Louisiana Ave, McComb 39648",(601) 551-4905,(866) 545-7876,,
Kenny Cotton,Pike County Sheriff," 2109 Jessie Hall Rd, Magnolia 39652",(601) 783-2327,(601) 783-6586,,
Tazwell Bowsky.,Pike County Supervisor (D-1)," PO Box 431, Magnolia 39652",(601) 783-6569,(601) 783-6540,,
Faye Hodges,Pike County Supervisor (D-2)," PO Box 431, Magnolia 39652",(601) 783-6569,(601) 783-6540,,
Chuck E Lambert,Pike County Supervisor (D-3),"PO Box 431, Magnolia 39652",(601) 783-6569,(601) 783-6540,,
Luke Brewer,Pike County Supervisor (D-4),"PO Box 431, Magnolia 39652",(601) 783-6569,(601) 783-6540,,
Gary Honea,Pike County Supervisor (D-5)," PO Box 431, Magnolia 39652",(601) 783-6569,(601) 783-6540,,
Phillip Tutor,Pontotoc County Board Attorney," PO Box 487, Pontotoc 38863",(662) 489-2415,(662) 489-6815,,
John Weddle,Pontotoc County District Attorney,"PO Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,
Malcolm McAuley,Pontotoc County Prosecuting Attorney,"PO Box 878, Pontotoc 38863",(662) 489-1551,(662) 489-2726,,
Leo Mask,Pontotoc County Sheriff," PO Box 240, Pontotoc 38863",(662) 489-3915,(662) 489-3312,,
Wayne Stokes,Pontotoc County Supervisor (D-1)," PO Box 209, Pontotoc 38863",(662) 489-3900,(662) 489-3940,,
Mike McGregor.,Pontotoc County Supervisor (D-2),"PO Box 209, Pontotoc 38863",(662) 489-3900,(662) 489-3940,,
Brad Ward,Pontotoc County Supervisor (D-3),"PO Box 209, Pontotoc 38863",(662) 489-3900,(662) 489-3940,,
Ernie Wright,Pontotoc County Supervisor (D-4)," PO Box 209, Pontotoc 38863",(662) 489-3900,(662) 489-3940,,
Dan McKnight,Pontotoc County Supervisor (D-5)," PO Box 209, Pontotoc 38863",(662) 489-3900,(662) 489-3940,,
Tommy Cadle,Prentiss County Board Attorney," 101 South Main, Booneville 38829",(662) 728-2131,(662) 728-2007,,
Harry Allen,Prentiss County Constable," 1901-C E Chambers Dr, Booneville 38829",(662) 728-2001,(662) 728-2009,,
Sammy D. Henderson,Prentiss County Constable," 1901-C E Chambers Dr, Booneville 38829",(662) 728-2001,(662) 728-2009,,
John Weddle,Prentiss County District Attorney,"PO Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,
Donna Inman,Prentiss County Justice Court Clerk,"1901-C E Chambers Dr, Booneville 38829",(662) 728-8696,(662) 728-2009,,
Allison A. Worley,Prentiss County Prosecuting Attorney," PO Box 430, Booneville 38829",(662) 720-1141,(662) 720-1142,,
Randy Tolar,Prentiss County Sheriff,"1901-B E Chambers Dr, Booneville 38829",(662) 728-6232,(662) 728-2003,,
James Ray Plaxico,Prentiss County Supervisor (D-1)," PO Box 477, Booneville 38829",(662) 728-4610,(662) 728-2007,,
Matt Murphy,Prentiss County Supervisor (D-2)," PO Box 477, Booneville 38829",(662) 728-4610,(662) 728-2007,,
Mike Kesler,Prentiss County Supervisor (D-3)," PO Box 477, Booneville 38829",(662) 728-4610,(662) 728-2007,,
Mike Huddleston,Prentiss County Supervisor (D-4)," PO Box 477, Booneville 38829",(662) 728-4610,(662) 728-2007,,
Larry Lambert,Prentiss County Supervisor (D-5)," PO Box 477, Booneville 38829",(662) 728-4610,(662) 728-2007,,
Robert Roy,Quitman County Board Attorney,"PO Drawer 250, Marks 38646",(662) 326-8530,(662) 326-2754,,
Brenda F. Mitchell,Quitman County District Attorney,"PO Box 848, Cleveland 38732",(662) 843-8000,(662) 846-1711,,
Jimmy Miller,Quitman County Prosecuting Attorney," PO Box 209, Marks 38646-0209",(662) 326-4223,,,
Oliver Parker Jr,Quitman County Sheriff,"PO Box 365, Marks 38646",(662) 326-3131,(662) 326-8004,,
Sheridan Boyd,Quitman County Supervisor (D-1)," 220 Chestnut St,Ste 2, Marks 38646",(662) 326-2661,(662) 326-8004,,
Greg Thomas,Quitman County Supervisor (D-2)," 220 Chestnut St,Ste 2, Marks 38646",(662) 326-2661,(662) 326-8004,,
Johnny Tullos,Quitman County Supervisor (D-3)," 220 Chestnut St,Ste 2, Marks 38646",(662) 326-2661,(662) 326-8004,,
Manuel Killebrew,Quitman County Supervisor (D-4)," 220 Chestnut St,Ste 2, Marks 38646",(662) 326-2661,(662) 326-8004,,
Jesse Ellis Sr,Quitman County Supervisor (D-5)," 220 Chestnut St,Ste 2, Marks 38646",(662) 326-2661,(662) 326-8004,,
Craig L. Slay,Rankin County Board Attorney,"211 E Government St,Ste A, Brandon 39042",(601) 824-2437,(601) 825-0431,,
Michael Guest,Rankin County District Attorney,"PO Box 68, Brandon 39043",(601) 825-1472,(601) 825-9605,,
Richard H. Wilson,Rankin County Prosecuting Attorney,"117 N Timber St, Brandon 39042",(601) 824-2590,(601) 824-2591,,
Bryan Bailey,Rankin County Sheriff,"221 N Timber, Brandon 39042",(601) 825-1480,(601) 824-0268,,
Jared K. Morrison ,Rankin County Supervisor (D-1),"211 E Government St,Ste A, Brandon 39042",(601) 825-1475,(601) 825-9600,,
Daniel Cross,Rankin County Supervisor (D-2),"211 E Government St,Ste A, Brandon 39042",(601) 825-1475,(601) 825-9600,,
Bob Morrow,Rankin County Supervisor (D-3),"211 E Government St,Ste A, Brandon 39042",(601) 825-1475,(601) 825-9600,,
Steve Gaines,Rankin County Supervisor (D-4),"211 E Government St,Ste A, Brandon 39042",(601) 825-1475,(601) 825-9600,,
Jay Bishop ,Rankin County Supervisor (D-5),"211 E Government St,Ste A, Brandon 39042",(601) 825-1475,(601) 825-9600,,
Roy Noble Lee Jr,Scott County Board Attorney," PO Box 370, Forest 39074",(601) 469-2721,(601) 469-4216,,
Steven S Kilgore,Scott County District Attorney," PO Box 603, Philadelphia 39350",(601) 656-1991,(601) 656-2287,,
Tanya Carl,Scott County Prosecuting Attorney," PO Box 57, Forest 39074",(601) 469-0112,(601) 469-0712,,
Mike Lee,Scott County Sheriff," 531 Airport Rd, Forest 39074",(601) 469-1511,(601) 469-5224,,
Jackie Bradford,Scott County Supervisor (D-1)," PO Box 630, Forest 39074",(601) 469-1926,(601) 469-5180,,
Tim Sorey,Scott County Supervisor (D-2),"PO Box 630, Forest 39074",(601) 469-1926,(601) 469-5180,,
Steven Crotwell,Scott County Supervisor (D-3),"PO Box 630, Forest 39074",(601) 469-1926,(601) 469-5180,,
Johnny P. Harrell,Scott County Supervisor (D-4),"PO Box 630, Forest 39074",(601) 469-1926,(601) 489-5180,,
Bruce McMillan,Scott County Supervisor (D-5),"PO Box 630, Forest 39074",(601) 469-1926,(601) 469-5180,,
Allen S Woodard,Sharkey County Board Attorney,"PO Box 10, Rolling Fork 39159",(662) 873-6777,(662) 873-9000,,
Richard (Ricky) Smith Jr,Sharkey County District Attorney," PO Box 648, Vicksburg 39181",(601) 636-5754,(601) 636-8664,,
Charles Weissinger,Sharkey County Prosecuting Attorney," PO Box 215, Rolling Fork 39159",(662) 873-6258,(662) 873-6903,,
Lindsey Adams Jr,Sharkey County Sheriff," 120 Locust St, Rolling Fork 39159",(662) 873-4321,(662) 873-6135,,
William E Newsom,Sharkey County Supervisor (D-1)," PO Box 218, Rolling Fork 39159",(662) 873-2755,(662) 873-6045,,
Leroy Smith Jr,Sharkey County Supervisor (D-2)," PO Box 218, Rolling Fork 39159",(662) 873-2755,(662) 873-6045,,
Samuel Matthews,Sharkey County Supervisor (D-3),"PO Box 218, Rolling Fork 39159",(662) 873-2755,(662) 873-6045,,
Tommy Ewing,Sharkey County Supervisor (D-4)," PO Box 218, Rolling Fork 39159",(662) 873-2755,(662) 873-6045,,
Willie Smith,Sharkey County Supervisor (D-5)," PO Box 218, Rolling Fork 39159",(662) 873-2755,(662) 873-6045,,
Danny Welch,Simpson County Board Attorney," 224 N Main St, Mendenhall 39114",(601) 847-2539,(601) 847-4449,,
Matt Sullivan,Simpson County District Attorney,"100 Court Ave,Ste 4, Mendenhall 39114",(601) 847-1342,(601) 847-3428,,
Wesley Broadhead.,Simpson County Prosecuting Attorney,"PO Box 446, Mendenhall 39114",(601) 847-2056,,,
Donald O’Cain,Simpson County Sheriff,"1496 Simpson Hwy. 149, Mendenhall 39114",(601) 847-2155,(601) 847-2156,,
Curtis Skiffer,Simpson County Supervisor (D-1)," PO Box 308, Mendenhall 39114",(601) 847-1418,(601) 847-7004,,
Danny Craft,Simpson County Supervisor (D-2)," PO Box 308, Mendenhall 39114",(601) 847-1418,(601) 847-7004,,
Brian Kennedy,Simpson County Supervisor (D-3)," PO Box 308, Mendenhall 39114",(601) 847-1418,(601) 847-7004,,
Mickey Berry,Simpson County Supervisor (D-4),"PO Box 308, Mendenhall 39114",(601) 847-1418,(601) 847-7004,,
Randy Moore,Simpson County Supervisor (D-5),"PO Box 308, Mendenhall 39114",(601) 847-1418,(601) 847-7004,,
Wendell James ,Smith County Board Attorney,"PO Box 302, Taylorsville 39168 (601) 452-5055",(601) 452-5055,(601) 452-5056,,
Matt Sullivan,Smith County District Attorney,"100 Court Ave,Ste 4, Mendenhall 39114",(601) 847-1342,(601) 847-3428,,
Wendell James,Smith County Prosecuting Attorney,"PO Box 861, Raleigh 39153",(601) 452-5055,(601) 782-9004,,
Charlie Crumpton,Smith County Sheriff,"PO Box 307, Raleigh 39153",(601) 782-4531,(601) 782-4003,,
Kenny Cain,Smith County Supervisor (D-1),"PO Box 160, Raleigh 39153",(601) 782-4000,(601) 782-4002,,
Dwight D. Norris,Smith County Supervisor (D-2),"PO Box 160, Raleigh 39153",(601) 782-4000,(601) 782-4002,,
Benjie Ford,Smith County Supervisor (D-3),"PO Box 160, Raleigh 39153",(601) 782-4000,(601) 782-4002,,
Danny Arender,Smith County Supervisor (D-4),"PO Box 160, Raleigh 39153",(601) 782-4000,(601) 782-4002,,
Howard Hammons,Smith County Supervisor (D-5),"PO Box 160, Raleigh 39153",(601) 782-4000,(601) 782-4002,,
Scott Gibson,Stone County Board Attorney,"PO Box 1270, Wiggins 39577",(601) 528-6028,,,
Gerald W Bond,Stone County Chancery Clerk,"PO Drawer 7, Wiggins 39577",(601) 928-5266,(601) 928-6464,,
Sanford (Sandy) Steckler,Stone County Chancery Court Judge (D-8),"PO Box 659, Gulfport 39502",(228) 865-4008,,,
Jim Persons,Stone County Chancery Court Judge (D-8),"PO Box 457, Gulfport 39502",(228) 865-4096,,,
